taxon_id,name,obs_count,tier
119806,Lobelia siphilitica,268,head
125482,Pilea pumila,268,head
50717,Epipactis helleborine,267,head
55981,Lapsana communis,267,head
142979,Vernonia noveboracensis,265,head
52119,Populus deltoides,264,head
52720,Dactylis glomerata,264,head
54762,Acer saccharinum,264,head
57481,Calystegia sepium,264,head
55766,Euphorbia cyparissias,263,head
57056,Medicago lupulina,262,head
77155,Fragaria virginiana,260,head
125186,Lespedeza capitata,259,head
133293,Limonium carolinianum,258,head
133393,Viola labradorica,257,head
54802,Nyssa sylvatica,255,head
58991,Portulaca oleracea,255,head
48062,Lysimachia terrestris,253,head
49884,Betula populifolia,253,head
48206,Convallaria majalis,252,head
62377,Rubus odoratus,252,head
59980,Conopholis americana,251,head
84281,Clinopodium vulgare,250,head
204177,Persicaria arifolia,248,head
485191,Silene coronaria,248,head
1038940,Solanum emulans,248,head
54504,Juglans nigra,247,head
63166,Viburnum lantanoides,247,head
79408,Trifolium arvense,246,head
118473,Sedum sarmentosum,244,head
48726,Iris versicolor,243,head
56090,Morus alba,242,head
48070,Sagittaria latifolia,241,head
82536,Viola pedata,240,head
83075,Epigaea repens,237,head
130898,Collinsonia canadensis,237,head
53197,Rumex crispus,236,head
862704,Scilla siberica,236,head
117443,Symphyotrichum novae-angliae,235,head
119802,Laportea canadensis,235,head
79460,Turritis glabra,234,head
56077,Hypericum perforatum,232,head
131000,Dichanthelium clandestinum,229,head
58907,Melilotus albus,223,head
47894,Opuntia humifusa,222,head
57356,Amorpha fruticosa,222,head
53059,Galium aparine,221,head
69713,Rubus hispidus,220,head
204339,Lamium galeobdolon,220,head
52740,Vaccinium corymbosum,219,head
130737,Quercus ilicifolia,219,head
204153,Eutrochium dubium,219,head
460193,Potentilla hebiichigo,218,head
75995,Campsis radicans,216,head
76214,Centaurea stoebe,216,head
127634,Trichostema dichotomum,216,head
51227,Pedicularis canadensis,215,head
57824,Sambucus racemosa,215,head
60214,Abutilon theophrasti,213,head
55886,Lunaria annua,212,head
82317,Hibiscus moscheutos,212,head
75832,Boehmeria cylindrica,211,head
55748,Veronica arvensis,210,head
77638,Lathyrus japonicus,210,head
133237,Hieracium paniculatum,209,head
47359,Apocynum androsaemifolium,208,head
83456,Decodon verticillatus,208,head
128805,Gaylussacia baccata,206,head
127907,Chamaecrista fasciculata,205,head
58127,Chenopodium album,203,head
59063,Cyperus strigosus,203,head
60221,Ludwigia palustris,203,head
154387,Chrysosplenium americanum,203,head
49822,Rhododendron periclymenoides,202,head
55459,Lamium amplexicaule,202,head
119145,Mikania scandens,202,head
126251,Coptis trifolia,197,head
49883,Betula papyrifera,196,head
76158,Catalpa speciosa,195,head
76897,Erigeron annuus,195,head
83059,Rhododendron maximum,195,head
54771,Ostrya virginiana,194,head
126583,Hemerocallis fulva,194,head
52651,Sarracenia purpurea,193,head
153441,Symphyotrichum cordifolium,192,head
53094,Heracleum maximum,191,head
53034,Ambrosia trifida,188,head
82569,Thelypteris palustris,188,head
62236,Chimaphila umbellata,187,head
81802,Ranunculus recurvatus,187,head
130690,Rhexia virginica,186,head
53374,Corylus cornuta,185,head
79358,Thlaspi arvense,185,head
359147,Viola fimbriatula,185,head
47891,Impatiens pallida,182,head
53983,Digitalis purpurea,182,head
68034,Hieracium venosum,182,head
143859,Pseudognaphalium obtusifolium,181,head
79409,Trifolium aureum,179,head
49006,Quercus velutina,178,head
54811,Rhamnus cathartica,177,head
48685,Typha latifolia,174,head
59773,Lonicera morrowii,174,head
78090,Mollugo verticillata,173,head
54797,Gleditsia triacanthos,171,head
53211,Senecio vulgaris,169,head
56171,Leonurus cardiaca,168,head
204173,Hylodesmum nudiflorum,166,head
57131,Lilium canadense,165,head
131249,Persicaria perfoliata,164,head
55721,Silene vulgaris,162,head
127609,Rhodotypos scandens,162,head
76745,Dulichium arundinaceum,161,head
78387,Peltandra virginica,161,head
120181,Oclemena acuminata,161,head
1351707,Tiarella stolonifera,160,head
51606,Galanthus nivalis,159,head
82097,Potentilla simplex,159,head
75867,Brasenia schreberi,158,head
76005,Cardamine pensylvanica,157,head
163550,Hedwigia ciliata,157,head
58961,Plantago major,156,head
170203,Viburnum plicatum,155,head
82515,Pyrola elliptica,154,head
204420,Strophostyles helvola,154,head
54840,Populus tremuloides,153,head
119793,Pyrus calleryana,153,head
54037,Thuja occidentalis,151,head
61009,Lathyrus latifolius,151,head
82300,Rhododendron viscosum,151,head
81942,Penstemon digitalis,150,head
67983,Diervilla lonicera,149,head
126768,Pycnanthemum muticum,148,head
116329,Packera aurea,145,head
208963,Vincetoxicum nigrum,144,head
51435,Trillium undulatum,143,head
54770,Corylus americana,143,head
54787,Carya cordiformis,142,head
129505,Desmodium canadense,142,head
163870,Hydrocotyle americana,142,head
116735,Rudbeckia laciniata,141,head
56126,Barbarea vulgaris,140,head
64543,Prunus maritima,139,head
67555,Codium fragile,139,head
68884,Phlox subulata,139,head
154524,Smilax herbacea,139,head
802714,Aphyllon uniflorum,139,head
145367,Hypericum gentianoides,138,head
53794,Clintonia borealis,137,head
67820,Erigeron philadelphicus,137,head
78820,Ranunculus bulbosus,137,head
129324,Dioscorea villosa,137,head
77914,Lycopodium clavatum,136,head
144193,Ionactis linariifolia,135,head
169738,Thuidium delicatulum,135,head
84542,Vaccinium angustifolium,134,head
61323,Conocephalum salebrosum,132,head
82302,Rosa palustris,132,head
170095,Uvularia perfoliata,132,head
59991,Comandra umbellata,130,head
79067,Setaria faberi,130,head
54835,Prunus virginiana,129,head
164342,Kalopanax septemlobus,129,head
204164,Nuphar variegata,129,head
53107,Lactuca serriola,128,head
132224,Lysimachia clethroides,128,head
59549,Lupinus polyphyllus,127,head
75609,Asplenium trichomanes,127,head
82564,Dryopteris carthusiana,127,head
128620,Hackelia virginiana,127,head
79017,Scutellaria lateriflora,126,head
122249,Symphyotrichum lateriflorum,126,head
124552,Potentilla argentea,126,head
130998,Ludwigia alternifolia,126,head
52673,Equisetum hyemale,125,head
55021,Arabidopsis thaliana,125,head
49870,Actaea rubra,122,head
53547,Ulmus americana,122,head
119792,Paulownia tomentosa,122,head
120579,Gentiana clausa,122,head
145435,Epilobium coloratum,122,head
167010,Plantago rugelii,121,head
544286,Viola eriocarpa,121,head
82552,Deparia acrostichoides,119,head
772903,Sporobolus alterniflorus,119,head
79301,Symphyotrichum lanceolatum,118,head
129021,Cryptotaenia canadensis,118,head
60125,Cicuta maculata,117,head
84330,Caulophyllum thalictroides,117,head
131568,Chamaecrista nictitans,117,head
1391871,Viola communis,117,head
53183,Oxalis stricta,115,head
57317,Vicia villosa,115,head
82110,Rubus allegheniensis,115,head
53110,Lactuca canadensis,113,head
447069,Persicaria extremiorientalis,113,head
52658,Drosera rotundifolia,112,head
54531,Cardamine pratensis,112,head
632667,Vincetoxicum rossicum,111,head
55969,Viburnum opulus,110,head
79002,Scirpus cyperinus,110,head
122603,Schizachyrium scoparium,110,head
58725,Juniperus communis,109,head
76942,Erigeron strigosus,108,head
53793,Mitella diphylla,107,head
56065,Galium odoratum,107,head
59771,Mertensia virginica,107,head
82311,Carex lupulina,107,head
122091,Woodsia obtusa,107,head
126169,Staphylea trifolia,107,head
52162,Cakile edentula,106,head
84270,Vaccinium pallidum,106,head
127684,Viola blanda,106,head
59570,Arctium minus,105,head
77206,Galium mollugo,105,head
138983,Lespedeza hirta,105,head
204172,Fallopia scandens,105,head
53065,Galium triflorum,104,head
53298,Stellaria media,104,head
53307,Cerastium fontanum,104,head
77676,Lepidium virginicum,104,head
51610,Veronica chamaedrys,103,head
135261,Solidago juncea,103,head
154326,Lespedeza violacea,103,head
136608,Bazzania trilobata,102,head
54784,Quercus coccinea,101,head
55971,Tanacetum vulgare,100,head
68053,Vitis labrusca,100,head
75501,Arctium lappa,99,mid
119269,Quercus stellata,99,mid
56121,Capsella bursa-pastoris,98,mid
56170,Galinsoga quadriradiata,98,mid
82342,Lonicera maackii,98,mid
132767,Chamaedaphne calyculata,98,mid
56406,Marchantia polymorpha,97,mid
57190,Phleum pratense,97,mid
85321,Campanula rapunculoides,97,mid
77616,Lactuca biennis,96,mid
82566,Dryopteris cristata,96,mid
169900,Trapa natans,96,mid
49130,Myosotis scorpioides,95,mid
57066,Melilotus officinalis,95,mid
81594,Elymus hystrix,95,mid
133353,Malus toringo,94,mid
159499,Bryoandersonia illecebra,94,mid
859236,Hypericum virginicum,94,mid
57920,Xanthium strumarium,93,mid
82372,Galium circaezans,93,mid
61824,Trifolium hybridum,92,mid
62371,Sparganium americanum,92,mid
117435,Sicyos angulatus,92,mid
117440,Eutrochium maculatum,92,mid
126369,Anemone virginiana,92,mid
55666,Veronica persica,91,mid
122081,Phegopteris hexagonoptera,91,mid
126249,Akebia quinata,91,mid
130993,Desmodium paniculatum,91,mid
170200,Viburnum dilatatum,91,mid
62776,Clematis terniflora,90,mid
79487,Verbena bonariensis,90,mid
83073,Solidago gigantea,90,mid
85313,Physostegia virginiana,90,mid
169984,Trillium cernuum,90,mid
63512,Acer palmatum,89,mid
64547,Teucrium canadense,89,mid
127326,Carex pensylvanica,89,mid
133038,Penthorum sedoides,89,mid
52992,Matricaria discoidea,88,mid
126864,Viola rotundifolia,88,mid
204246,Atocion armeria,87,mid
48688,Setaria pumila,86,mid
63337,Phalaris arundinacea,86,mid
119825,Aralia hispida,86,mid
490542,Krigia virginica,86,mid
53324,Vicia sativa,85,mid
54805,Fraxinus americana,85,mid
84998,Carex swanii,85,mid
126891,Pycnanthemum tenuifolium,85,mid
181927,Parthenocissus inserta,85,mid
51808,Lysimachia punctata,84,mid
59028,Verbascum blattaria,83,mid
119095,Conoclinium coelestinum,83,mid
119813,Actaea racemosa,83,mid
125386,Asclepias exaltata,83,mid
130368,Osmorhiza longistylis,83,mid
53038,Drosera intermedia,82,mid
53313,Trifolium dubium,80,mid
119154,Solidago flexicaulis,80,mid
132711,Hypericum punctatum,80,mid
163087,Froelichia gracilis,80,mid
54773,Viburnum lentago,79,mid
54789,Carya glabra,79,mid
60146,Pluchea odorata,79,mid
67775,Claytonia caroliniana,79,mid
129315,Ceanothus americanus,79,mid
204156,Hylodesmum glutinosum,79,mid
120179,Doellingeria umbellata,78,mid
128839,Lobelia spicata,78,mid
130174,Danthonia spicata,78,mid
54767,Toxicodendron vernix,77,mid
63749,Vaccinium macrocarpon,77,mid
157903,Acalypha rhomboidea,77,mid
76025,Carex comosa,76,mid
119827,Aralia racemosa,76,mid
120403,Tridens flavus,76,mid
170204,Viburnum recognitum,76,mid
402509,Pilosella officinarum,76,mid
933404,Centaurea cyanus,76,mid
51712,Bidens frondosa,75,mid
76584,Cyperus esculentus,75,mid
119809,Lonicera sempervirens,75,mid
142730,Hieracium scabrum,75,mid
474366,Humulus scandens,75,mid
54520,Tanacetum parthenium,74,mid
55730,Spergularia rubra,74,mid
1138520,Pseudanomodon attenuatus,74,mid
122101,Diphasiastrum tristachyum,73,mid
1614093,Chelidonium diphyllum,73,mid
54785,Quercus palustris,72,mid
78084,Mirabilis nyctaginea,72,mid
84113,Helianthus divaricatus,72,mid
128798,Aronia melanocarpa,72,mid
129491,Carex platyphylla,72,mid
53039,Pogonia ophioglossoides,71,mid
78453,Persicaria hydropiperoides,71,mid
81605,Yucca filamentosa,71,mid
82313,Carex stricta,71,mid
130176,Chondrus crispus,71,mid
142279,Symphyotrichum pilosum,71,mid
1569019,Senega sanguinea,71,mid
75475,Anthoxanthum odoratum,70,mid
82247,Viburnum dentatum,70,mid
122085,Sceptridium dissectum,70,mid
125727,Panicum virgatum,70,mid
130900,Menispermum canadense,70,mid
127196,Myosotis stricta,69,mid
62588,Hypericum mutilum,68,mid
52500,Platanthera clavellata,67,mid
77349,Helenium autumnale,67,mid
119807,Lonicera canadensis,67,mid
129196,Rosa carolina,67,mid
168856,Sericocarpus asteroides,67,mid
170140,Verbascum phlomoides,67,mid
52344,Ipomoea purpurea,66,mid
122658,Leucobryum glaucum,66,mid
61935,Scleranthus annuus,65,mid
78616,Plantago aristata,65,mid
121968,Andropogon gerardi,65,mid
128931,Vitis aestivalis,65,mid
141854,Urtica gracilis,65,mid
53269,Sonchus asper,64,mid
60265,Asparagus officinalis,64,mid
122608,Sorghastrum nutans,64,mid
1038574,Borodinia laevigata,64,mid
53268,Maianthemum stellatum,63,mid
58721,Larix laricina,63,mid
75916,Buddleja davidii,63,mid
123625,Digitalis grandiflora,63,mid
204185,Nabalus trifoliolatus,63,mid
54857,Celtis occidentalis,62,mid
69930,Juncus tenuis,62,mid
78930,Salicornia depressa,62,mid
84114,Helenium flexuosum,62,mid
156531,Proserpinaca palustris,61,mid
53104,Hypochaeris radicata,60,mid
117429,Betula nigra,60,mid
145483,Symphyotrichum tenuifolium,60,mid
169483,Symphyotrichum racemosum,60,mid
773660,Salix atrocinerea,60,mid
55809,Leucojum aestivum,59,mid
61253,Lilium philadelphicum,59,mid
77779,Lindernia dubia,59,mid
79131,Sium suave,59,mid
81599,Silphium perfoliatum,59,mid
129689,Angelica atropurpurea,59,mid
143558,Kummerowia striata,59,mid
711086,Pilosella caespitosa,59,mid
49192,Castanea mollissima,58,mid
60997,Ceratophyllum demersum,58,mid
81748,Thalictrum dioicum,58,mid
85008,Lilium superbum,58,mid
136376,Rudbeckia triloba,58,mid
204197,Dendrolycopodium hickeyi,58,mid
914942,Persicaria filiformis,58,mid
55828,Lamium maculatum,57,mid
126516,Viola rostrata,57,mid
164133,Iris sanguinea,57,mid
169474,Symphyotrichum novi-belgii,57,mid
881527,Anemonastrum canadense,57,mid
54780,Quercus bicolor,56,mid
54833,Prunus pensylvanica,56,mid
76606,Dasiphora fruticosa,56,mid
84031,Hylotelephium telephium,56,mid
119791,Acer pseudoplatanus,56,mid
130377,Solidago nemoralis,56,mid
141767,Veronicastrum virginicum,56,mid
165493,Moehringia lateriflora,56,mid
320160,Cornus racemosa,56,mid
55825,Veronica filiformis,55,mid
56325,Asarum canadense,55,mid
58372,Distichlis spicata,55,mid
67524,Polemonium reptans,55,mid
75855,Botrypus virginianus,55,mid
76647,Dianthus deltoides,55,mid
79465,Utricularia macrorhiza,55,mid
128768,Physalis heterophylla,55,mid
164463,Lechea mucronata,55,mid
54844,Salix discolor,54,mid
68293,Polytrichum commune,54,mid
78157,Myriophyllum spicatum,54,mid
130887,Selaginella apoda,54,mid
711103,Pilosella aurantiaca,54,mid
57867,Spirodela polyrhiza,53,mid
127891,Packera obovata,53,mid
773004,Sporobolus pumilus,53,mid
50298,Fragaria vesca,52,mid
78450,Persicaria amphibia,52,mid
81528,Lupinus perennis,52,mid
82307,Symphyotrichum puniceum,52,mid
82740,Lathyrus sylvestris,52,mid
130367,Osmorhiza claytonii,52,mid
143409,Rhododendron prinophyllum,52,mid
163098,Frullania eboracensis,52,mid
166162,Parthenocissus tricuspidata,52,mid
166636,Phellodendron amurense,52,mid
791928,Lysimachia arvensis,52,mid
58382,Poa bulbosa,51,mid
58762,Cystopteris tenuis,51,mid
59778,Pastinaca sativa,51,mid
75377,Alnus incana,51,mid
126641,Allium canadense,51,mid
1617172,Anatherum virginicum,51,mid
55402,Trillium grandiflorum,50,mid
55727,Cymbalaria muralis,50,mid
78455,Persicaria pensylvanica,50,mid
130988,Bidens connata,50,mid
136373,Senna hebecarpa,50,mid
540959,Viola palmata,50,mid
52793,Holcus lanatus,49,mid
56064,Ranunculus acris,49,mid
56871,Eranthis hyemalis,49,mid
67423,Ulva lactuca,49,mid
126485,Calycanthus floridus,49,mid
126637,Hyacinthus orientalis,49,mid
130369,Cicuta bulbifera,49,mid
204152,Eubotrys racemosus,49,mid
1467430,Viola pubescens,49,mid
56033,Alnus serrulata,48,mid
75921,Cabomba caroliniana,48,mid
79148,Solidago altissima,48,mid
83902,Baptisia australis,48,mid
84298,Aesculus hippocastanum,48,mid
126655,Eurybia macrophylla,48,mid
147976,Helianthus decapetalus,48,mid
159954,Carex folliculata,48,mid
164948,Luzula multiflora,48,mid
170089,Utricularia purpurea,48,mid
48622,Nepeta cataria,47,mid
48651,Cosmos sulphureus,47,mid
56455,Pallavicinia lyellii,47,mid
62398,Gratiola aurea,47,mid
75765,Bidens cernua,47,mid
154563,Polygonella articulata,47,mid
905640,Campanula intercedens,47,mid
77663,Lepidium campestre,46,mid
82578,Calopogon tuberosus,46,mid
84790,Magnolia tripetala,46,mid
130951,Nabalus altissimus,46,mid
157642,Houttuynia cordata,45,mid
162409,Eragrostis spectabilis,45,mid
204366,Nipponanthemum nipponicum,45,mid
54847,Salix nigra,44,mid
55760,Viola arvensis,44,mid
75758,Berberis vulgaris,44,mid
133240,Ilex crenata,44,mid
141623,Platycodon grandiflorus,44,mid
155773,Trichocolea tomentella,44,mid
1405994,Viburnum cassinoides,44,mid
47192,Cornus canadensis,43,mid
68052,Carex vulpinoidea,43,mid
76114,Carex stipata,43,mid
118731,Woodwardia areolata,43,mid
122082,Phegopteris connectilis,43,mid
130810,Symphyotrichum patens,43,mid
130901,Cinna arundinacea,43,mid
430124,Stellaria aquatica,43,mid
1392347,Viola minuscula,43,mid
47443,Albizia julibrissin,42,mid
67905,Polytrichum piliferum,42,mid
68562,Cosmos bipinnatus,42,mid
84305,Carya tomentosa,42,mid
85490,Phryma leptostachya,42,mid
129853,Geranium sanguineum,42,mid
78338,Panicum dichotomiflorum,41,mid
119138,Lespedeza virginica,41,mid
122055,Asplenium montanum,41,mid
130677,Pleurozium schreberi,41,mid
320575,Bartramia pomiformis,41,mid
49916,Sisyrinchium angustifolium,40,mid
56134,Muscari botryoides,40,mid
77468,Hydrilla verticillata,40,mid
118776,Monarda punctata,40,mid
119808,Lonicera dioica,40,mid
129286,Carex gracillima,40,mid
143759,Hottonia inflata,40,mid
145721,Solidago patula,40,mid
48502,Cercis canadensis,39,mid
57983,Helianthus annuus,39,mid
60015,Dianthus barbatus,39,mid
60438,Cardamine concatenata,39,mid
75762,Berteroa incana,39,mid
76444,Coreopsis lanceolata,39,mid
118761,Parnassia glauca,39,mid
125380,Asclepias purpurascens,39,mid
126656,Symphyotrichum undulatum,39,mid
129555,Lespedeza procumbens,39,mid
163545,Hedeoma pulegioides,39,mid
787459,Hexasepalum teres,39,mid
58738,Rhus aromatica,38,mid
78709,Potamogeton epihydrus,38,mid
79025,Sedum album,38,mid
82308,Carex crinita,38,mid
120007,Agalinis tenuifolia,38,mid
204163,Micranthes pensylvanica,38,mid
1308947,Pourthiaea villosa,38,mid
54518,Lemna minor,37,mid
57057,Medicago sativa,37,mid
69756,Chamaecyparis thyoides,37,mid
77915,Lycopus uniflorus,37,mid
78456,Persicaria punctata,37,mid
81711,Hydrophyllum virginianum,37,mid
130382,Heliopsis helianthoides,37,mid
130991,Tradescantia virginiana,37,mid
49226,Amelanchier arborea,36,mid
54436,Rubus idaeus,36,mid
56166,Persicaria maculosa,36,mid
59301,Ranunculus sceleratus,36,mid
60316,Typha angustifolia,36,mid
67808,Solidago canadensis,36,mid
128617,Viola lanceolata,36,mid
142654,Rudbeckia fulgida,36,mid
165474,Miscanthus sinensis,36,mid
168750,Sedum sexangulare,36,mid
203695,Euphorbia polygonifolia,36,mid
204435,Viola subsinuata,36,mid
48627,Echinacea purpurea,35,mid
52739,Vaccinium fuscatum,35,mid
53387,Cornus sericea,35,mid
56153,Juncus effusus,35,mid
57076,Trifolium campestre,35,mid
77952,Malva neglecta,35,mid
78849,Rhynchospora capitellata,35,mid
119936,Vitis riparia,35,mid
123050,Vallisneria americana,35,mid
154320,Gentianopsis crinita,35,mid
170206,Viburnum sieboldii,35,mid
204170,Crocanthemum canadense,35,mid
204392,Primula japonica,35,mid
49524,Lilium lancifolium,34,mid
60317,Veronica peregrina,34,mid
77838,Lotus tenuis,34,mid
85327,Polygonatum biflorum,34,mid
