species,common_name
Arisaema pusillum,small Jack-in-the-pulpit
Arisaema stewardsonii,bog Jack-in-the-pulpit
Arisaema triphyllum,Jack-in-the-Pulpit
Aristida dichotoma,Fork-tip Three-Awn
Aristida longespica,Slim-spike Three-awn Grass
Aristida oligantha,Oldfield Three-awn
Aristida purpurascens,Arrowfeather Threeawn
Aristida tuberculosa,Seaside Threeawn
Aristolochia macrophylla,pipevine
Aristolochia serpentaria,Virginia snakeroot
Armoracia rusticana,Horseradish
Arnoglossum atriplicifolium,pale Indian plantain
Aronia arbutifolia,red chokeberry
Aronia melanocarpa,black chokeberry
Arrhenatherum elatius,tall oat grass
Artemisia absinthium,absinthe wormwood
Artemisia annua,sweet annie
Artemisia canadensis,Canada Wormwood
Artemisia caudata,Beach Wormwood
Artemisia ludoviciana,Silver Wormwood
Artemisia stelleriana,Hoary Mugwort
Artemisia vulgaris,common mugwort
Arum italicum,Italian arum
Aruncus dioicus,Goatsbeard
Asarum canadense,Canadian wild ginger
Asarum europaeum,Asarabacca
Asarum reflexum,Reflexed Wild Ginger
Asclepias amplexicaulis,clasping milkweed
Asclepias curassavica,tropical milkweed
Asclepias exaltata,poke milkweed
Asclepias incarnata,swamp milkweed
Asclepias purpurascens,purple milkweed
Asclepias quadrifolia,four-leaved milkweed
Asclepias syriaca,common milkweed
Asclepias tuberosa,butterfly milkweed
Asclepias verticillata,whorled milkweed
Asimina triloba,common pawpaw
Asparagus aethiopicus,African Asparagus
Asparagus officinalis,wild asparagus
Asplenium montanum,mountain spleenwort
Asplenium platyneuron,ebony spleenwort
Asplenium rhizophyllum,walking fern
Asplenium ruta-muraria,wall-rue
Asplenium trichomanes,maidenhair spleenwort
Aster tataricus,Tatarian Aster
Asterella tenella,Delicate Starwort
Astrantia major,great masterwort
Athyrium angustum,northern lady fern
Athyrium asplenioides,southern lady fern
Athyrium niponicum,Japanese painted fern
Atocion armeria,Sweet William Catchfly
Atrichum altecristatum,Wavy Starburst Moss
Atrichum angustatum,lesser smoothcap
Atrichum crispum,Crispate Smoothcap
Atrichum undulatum,Catherine's moss
Atriplex prostrata,Creeping Saltbush
Aulacomnium heterostichum,Goose Egg Moss
Aulacomnium palustre,ribbed bog moss
Aureolaria flava,smooth yellow false foxglove
Aureolaria pedicularia,fern-leaved false foxglove
Aureolaria virginica,downy yellow false foxglove
Avenella flexuosa,wavy hair-grass
Baccharis halimifolia,groundsel tree
Bambusa vulgaris,common bamboo
Baptisia australis,tall blue wild indigo
Baptisia tinctoria,eastern wild indigo
Barbarea stricta,Small-flowered Winter-cress
Barbarea verna,land cress
Barbarea vulgaris,bitter wintercress
Barnardia japonica,Japanese jacinth
Bartonia paniculata,Twining Screwstem
Bartonia virginica,yellow screwstem
Bartramia pomiformis,Common Apple-moss
Basella alba,Malabar spinach
Bassia scoparia,summer-cypress
Bazzania trilobata,greater whipwort
Begonia grandis,hardy begonia
Bellis perennis,Lawn daisy
Berberis aquifolium,Oregon grape
Berberis bealei,leatherleaf mahonia
Berberis julianae,wintergreen barberry
Berberis thunbergii,Japanese barberry
Berberis vulgaris,European barberry
Berteroa incana,hoary alyssum
Betonica officinalis,common hedge-nettle
Betula alleghaniensis,yellow birch
Betula lenta,sweet birch
Betula nigra,river birch
Betula papyrifera,paper birch
Betula pendula,silver birch
Betula populifolia,gray birch
Betula pumila,swamp birch
Bidens alba,White beggarticks
Bidens beckii,Water Marigold
Bidens bipinnata,Spanish needles
Bidens cernua,Nodding Beggarticks
Bidens connata,Purplestem Beggarticks
Bidens discoidea,swamp beggarticks
Bidens frondosa,Devil's Beggarticks
Bidens laevis,Smooth Beggarticks
Bidens polylepis,Tickseed Sunflower
Bidens tripartita,Three-parted Beggarticks
Bidens vulgata,Tall Beggarticks
Bistorta amplexicaulis,red bistort
Blasia pusilla,Common Kettlewort
Blephilia hirsuta,Hairy Wood Mint
Boehmeria cylindrica,false nettle
Bolboschoenus fluviatilis,river bulrush
Bolboschoenus robustus,seacoast bulrush
Boltonia asteroides,false aster
Borago officinalis,Borage
Borodinia canadensis,sicklepod
Borodinia laevigata,smooth rockcress
Botrychium angustisegmentum,narrow triangle moonwort
Botrychium matricariifolium,matricary grapefern
Botrypus virginianus,rattlesnake fern
Bouteloua gracilis,Blue Grama
Brachyelytrum aristosum,Northern Shorthusk
Brachythecium rivulare,Waterside Feather Moss
Brachythecium salebrosum,Smooth-stalk Feather-moss
Brasenia schreberi,Watershield
Brassica napus,rapeseed
Brassica oleracea,"cabbage, broccoli, and allies"
Brassica rapa,field mustard
Briza media,Quaking-grass
Bromus commutatus,Meadow Brome
Bromus inermis,Smooth Brome
Bromus secalinus,Rye Brome
Bromus tectorum,Cheatgrass
Brotherella recurvans,Recurved Brotherella Moss
Broussonetia papyrifera,Paper mulberry
Brunnera macrophylla,Siberian bugloss
Bryoandersonia illecebra,spoon-leaved moss
Bryum argenteum,Silvery Bryum
Bryum dichotomum,Bicoloured Bryum
Buddleja davidii,Butterfly bush
Bulbostylis capillaris,Densetuft Hairsedge
Bupleurum rotundifolium,Thorow-wax
Butomus umbellatus,Flowering-rush
Buxbaumia aphylla,Bug-on-a-stick
Buxus sempervirens,common box
Cabomba caroliniana,Carolina Fanwort
Cakile edentula,American searocket
Caladium bicolor,Heart of Jesus
Calamagrostis breviligulata,American marram grass
Calendula officinalis,pot marigold
Calla palustris,marsh calla
Callicarpa dichotoma,Purple Beautyberry
Callicladium haldaneanum,Beautiful Branch Moss
Callicladium imponens,brocade moss
Calliergon cordifolium,Heart-leaved Spear-moss
Calliergonella lindbergii,Lindberg's Hypnum Moss
Callitriche heterophylla,Large Water-starwort
Callitriche palustris,Narrow-fruited Water-starwort
Calluna vulgaris,common heather
Calopogon tuberosus,Tuberous Grasspink
Caltha palustris,marsh marigold
Calycanthus floridus,Carolina sweetshrub
Calypogeia neogaea,
Calypogeia sphagnicola,Bog Pouchwort
Calystegia sepium,hedge bindweed
Calystegia silvatica,large bindweed
Calystegia spithamaea,Low False Bindweed
Camassia leichtlinii,great camas
Camassia scilloides,Atlantic camas
Campanula glomerata,clustered bellflower
Campanula intercedens,intermediate bellflower
Campanula medium,Canterbury-bells
Campanula persicifolia,Peach-leaved Bellflower
Campanula poscharskyana,Trailing bellflower
Campanula punctata,Spotted bellflower
Campanula rapunculoides,Creeping Bellflower
Campanula rotundifolia,Common Harebell
Campanula trachelium,Nettle-leaved Bellflower
Campanulastrum americanum,tall bellflower
Campsis radicans,American trumpet vine
Cannabis sativa,Cannabis
Capnoides sempervirens,rock harlequin
Capsella bursa-pastoris,shepherd's-purse
Cardamine bulbosa,bulbous cress
Cardamine concatenata,cut-leaved toothwort
Cardamine dentata,white cuckoo bitter-cress
Cardamine diphylla,Two-leaved Toothwort
Cardamine douglassii,Purple Cress
Cardamine hirsuta,hairy bittercress
Cardamine impatiens,narrow-leaved bittercress
Cardamine occulta,Nursery bittercress
Cardamine parviflora,Sand Bittercress
Cardamine pensylvanica,Pennsylvania Bittercress
Cardamine pratensis,Cuckooflower
Carduus nutans,musk thistle
Carex aestivalis,summer sedge
Carex albicans,white-tinged sedge
Carex albursina,White Bear Sedge
Carex amphibola,Eastern Narrowleaf Sedge
Carex annectens,Yellow-fruited Sedge
Carex appalachica,Appalachian sedge
Carex arctata,drooping woodland sedge
Carex atlantica,prickly bog sedge
Carex billingsii,Billings' sedge
Carex blanda,eastern woodland sedge
Carex brevior,Shortbeak Sedge
Carex bromoides,brome-like sedge
Carex bushii,Bush's Sedge
Carex buxbaumii,Buxbaum's sedge
Carex canescens,hoary sedge
Carex cephalophora,oval-headed sedge
Carex communis,fibrous-rooted sedge
Carex comosa,bristly sedge
Carex conoidea,open-field sedge
Carex crinita,fringed sedge
Carex cumulata,clustered sedge
Carex davisii,Davis' sedge
Carex debilis,white-edge sedge
Carex digitalis,slender woodland sedge
Carex eburnea,ivory sedge
Carex echinata,star sedge
Carex emoryi,Emory's sedge
Carex festucacea,fescue sedge
Carex flava,yellow-green sedge
Carex folliculata,northern long sedge
Carex formosa,handsome sedge
Carex frankii,Frank's sedge
Carex glaucodea,Blue Sedge
Carex gracilescens,Slender Loose-flowered Sedge
Carex gracillima,graceful sedge
Carex granularis,Limestone Meadow sedge
Carex grayi,Gray's sedge
Carex grisea,Inflated Narrow-leaved Sedge
Carex gynandra,nodding sedge
Carex haydenii,Hayden's sedge
Carex hirsutella,fuzzy wuzzy sedge
Carex hirta,hairy sedge
Carex hirtifolia,hairy sedge
Carex hystericina,bottlebrush sedge
Carex intumescens,bladder sedge
Carex kobomugi,Japanese sedge
Carex lacustris,lake sedge
Carex laevivaginata,smooth-sheathed sedge
Carex lasiocarpa,woolly-fruited sedge
Carex laxiculmis,Spreading Sedge
Carex laxiflora,loose-flowered sedge
Carex leptalea,bristle-stalked sedge
Carex leptonervia,Nerveless Woodland Sedge
Carex lucorum,Blue Ridge sedge
Carex lupuliformis,false hop sedge
Carex lupulina,hop sedge
Carex lurida,sallow sedge
Carex muehlenbergii,Muhlenberg's Sedge
Carex muskingumensis,palm sedge
Carex normalis,Greater Straw Sedge
Carex novae-angliae,New England sedge
Carex pallescens,pale sedge
Carex pedunculata,long-stalked sedge
Carex pellita,woolly sedge
Carex pensylvanica,Pennsylvania sedge
Carex plantaginea,plantainleaf sedge
Carex platyphylla,broad-leaved sedge
Carex prasina,drooping sedge
Carex radiata,bracted sedge
Carex retroflexa,Reflexed Sedge
Carex retrorsa,retrorse sedge
Carex rosea,rosy sedge
Carex scabrata,eastern rough sedge
Carex scoparia,pointed broom sedge
Carex seorsa,Weak Stellate Sedge
Carex siccata,dry land sedge
Carex silicea,beach sedge
Carex sprengelii,longbeak sedge
Carex squarrosa,squarrose sedge
Carex stipata,awl-fruited sedge
Carex straminea,Eastern Straw Sedge
Carex stricta,tussock sedge
Carex swanii,Swan's sedge
Carex torta,twisted sedge
Carex tribuloides,blunt broom sedge
Carex trichocarpa,Hairy-fruit Sedge
Carex trisperma,threeseeded sedge
Carex typhina,cattail sedge
Carex utriculata,Northwest Territory sedge
Carex vesicaria,inflated sedge
Carex vestita,velvet sedge
Carex virescens,ribbed sedge
Carex vulpinoidea,fox sedge
Carica papaya,Papaya
Carpinus betulus,European Hornbeam
Carpinus caroliniana,American hornbeam
Carthamus tinctorius,Safflower
Carya cordiformis,bitternut hickory
Carya glabra,pignut hickory
Carya ovalis,red hickory
Carya ovata,shagbark hickory
Carya tomentosa,mockernut
Castanea dentata,American chestnut
Castanea mollissima,Chinese chestnut
Castilleja coccinea,Painted-cup paintbrush
Catalpa bignonioides,southern catalpa
Catalpa speciosa,northern catalpa
Catharanthus roseus,Madagascar Periwinkle
Caulophyllum giganteum,early blue cohosh
Caulophyllum thalictroides,blue cohosh
Ceanothus americanus,New Jersey tea
Celastrus orbiculatus,Asian bittersweet
Celastrus scandens,American bittersweet
Celtis occidentalis,common hackberry
Cenchrus alopecuroides,Chinese pennisetum
Cenchrus longispinus,mat sandbur
Centaurea cyanus,Cornflower
Centaurea jacea,Brown Knapweed
Centaurea montana,Perennial Cornflower
Centaurea nigra,black knapweed
Centaurea nigrescens,Tyrol knapweed
Centaurea stoebe,spotted knapweed
Centaurium pulchellum,Lesser Centaury
Cephalanthus occidentalis,buttonbush
Cerastium arvense,field chickweed
Cerastium fontanum,Common mouse-ear chickweed
Cerastium glomeratum,Sticky mouse-ear chickweed
Cerastium holosteoides,Common mouse-ear chickweed
Cerastium tomentosum,Snow-in-summer
Ceratodon purpureus,Redshank
Ceratophyllum demersum,coontail
Ceratophyllum echinatum,spineless hornwort
Ceratostigma plumbaginoides,blue leadwort
Cercidiphyllum japonicum,katsura tree
Cercis canadensis,eastern redbud
Chaenomeles japonica,Japanese Quince
Chaenomeles speciosa,Chinese quince
Chaenorhinum minus,dwarf snapdragon
Chaerophyllum procumbens,spreading chervil
Chamaecrista fasciculata,partridge pea
Chamaecrista nictitans,sensitive pea
Chamaecyparis thyoides,Atlantic white cedar
Chamaedaphne calyculata,leatherleaf
Chamaelirium luteum,devil's bit
Chamaenerion angustifolium,fireweed
Chasmanthium latifolium,river oats
Chelidonium diphyllum,Celandine Poppy
Chelidonium majus,Greater celandine
Chelone glabra,white turtlehead
Chelone lyonii,pink turtlehead
Chenopodiastrum hybridum,Eurasian maple-leaved goosefoot
Chenopodiastrum simplex,American maple-leaved goosefoot
Chenopodium album,Common Lambsquarters
Chenopodium berlandieri,pitseed goosefoot
Chenopodium ficifolium,Fig-leaved Goosefoot
Chimaphila maculata,striped wintergreen
Chimaphila umbellata,pipsissewa
Chionanthus virginicus,white fringetree
Chloris verticillata,tumble windmillgrass
Chromolaena odorata,Siam weed
Chrysogonum virginianum,northern green-and-gold
Chrysosplenium americanum,American golden saxifrage
Cichorium intybus,chicory
Cicuta bulbifera,bulblet-bearing water hemlock
Cicuta maculata,water hemlock
Cinna arundinacea,stout wood reed
Cinna latifolia,drooping woodreed
Circaea alpina,Alpine Enchanter's-nightshade
Circaea canadensis,broadleaf enchanter's nightshade
Cirsium arvense,creeping thistle
Cirsium discolor,field thistle
Cirsium horridulum,bristle thistle
Cirsium muticum,swamp thistle
Cirsium pumilum,pasture thistle
Cirsium vulgare,Bull Thistle
Citrullus lanatus,Watermelon
Citrus trifoliata,trifoliate orange
Cladium mariscoides,smooth saw-grass
Claopodium rostratum,Yellow Yarn Moss
Claytonia caroliniana,Carolina Springbeauty
Claytonia perfoliata,miner's lettuce
Claytonia virginica,Virginia Springbeauty
Clematis occidentalis,Purple Clematis
Clematis terniflora,autumn clematis
Clematis viorna,Vase-vine Leatherflower
Clematis virginiana,virgin's-bower
Cleome houtteana,Spider flower
Clethra alnifolia,Sweet Pepperbush
Climacium americanum,American Tree Moss
Climacium dendroides,Tree Climacium Moss
Clinopodium nepeta,Lesser Calamint
Clinopodium vulgare,Wild Basil
Clintonia borealis,bluebead lily
Colchicum autumnale,Autumn Crocus
Coleataenia longifolia,Long-leaved Redtop-Panicgrass
Coleataenia rigidula,redtop panicgrass
Collinsonia canadensis,citronella horse balm
Colutea arborescens,Bladder-senna
Comandra umbellata,bastard toadflax
Commelina communis,Asiatic dayflower
Comptonia peregrina,sweetfern
Conium maculatum,poison hemlock
Conocephalum conicum,Great Scented Liverwort
Conocephalum salebrosum,Snakewort
Conoclinium coelestinum,blue mistflower
Conopholis americana,American cancer-root
Convallaria majalis,European lily of the valley
Convallaria pseudomajalis,American lily-of-the-valley
Convolvulus arvensis,field bindweed
Convolvulus tricolor,Dwarf Morning-glory
Coptis trifolia,threeleaf goldthread
Corallorhiza maculata,spotted coralroot
Corallorhiza odontorhiza,autumn coralroot
Corallorhiza trifida,northern coralroot
Coreopsis auriculata,lobed coreopsis
Coreopsis lanceolata,Lance-leaved Coreopsis
Coreopsis rosea,Rose Coreopsis
Coreopsis tinctoria,plains coreopsis
Coreopsis tripteris,tall coreopsis
Coreopsis verticillata,Whorled Coreopsis
Coriandrum sativum,coriander
Cornus alba,Tatarian dogwood
Cornus alternifolia,alternate-leaved dogwood
Cornus amomum,silky dogwood
Cornus canadensis,Canadian bunchberry
Cornus drummondii,roughleaf dogwood
Cornus florida,flowering dogwood
Cornus kousa,kousa dogwood
Cornus mas,Cornelian cherry
Cornus obliqua,blue-fruited dogwood
Cornus officinalis,Korean cornel dogwood
Cornus racemosa,gray dogwood
Cornus rugosa,Round-leaved Dogwood
Cornus sericea,red osier dogwood
Corydalis flavula,Yellow Corydalis
Corydalis solida,Bird-in-a-bush
Corylus americana,American hazelnut
Corylus avellana,common hazel
Corylus colurna,Turkish Hazel
Corylus cornuta,beaked hazelnut
Coryphopteris simulata,Massachusetts fern
Cosmos bipinnatus,garden cosmos
Cosmos sulphureus,Yellow Cosmos
Cotinus coggygria,Smokebush
Cotoneaster divaricatus,Spreading Cotoneaster
Cotoneaster horizontalis,Wall cotoneaster
Crambe maritima,sea kale
Crassula aquatica,Aquatic pygmyweed
Crataegus biltmoreana,Biltmore Hawthorn
Crataegus crus-galli,cockspur hawthorn
Crataegus macracantha,Large-thorn hawthorn
Crataegus macrosperma,Big-fruit Hawthorn
Crataegus monogyna,common hawthorn
Crataegus phaenopyrum,Washington hawthorn
Crataegus pruinosa,waxy-fruited hawthorn
Crataegus schuettei,Schuette's Hawthorn
Crepidomanes intricatum,weft fern
Crepis capillaris,Smooth hawksbeard
Crepis tectorum,narrow-leaved hawksbeard
Crocanthemum bicknellii,plains frostweed
Crocanthemum canadense,Canada frostweed
Crocus biflorus,Silvery Crocus
Crocus chrysanthus,Snow Crocus
Crocus neapolitanus,spring crocus
Crocus speciosus,Bieberstein's Crocus
Crocus tommasinianus,Woodland crocus
Crocus vernus,Spring Crocus
Crotalaria sagittalis,arrowhead rattlebox
Cruciata pedemontana,Piedmont Bedstraw
Cryptotaenia canadensis,honewort
Cryptotaenia japonica,Japanese honewort
Cucumis melo,Muskmelon
Cucurbita maxima,winter squash
Cucurbita moschata,Squash
Cucurbita pepo,American pumpkin
Cuscuta cephalanthi,Buttonbush Dodder
Cuscuta gronovii,Scaldweed
Cuscuta pentagona,Five Angled Dodder
Cydonia oblonga,Quince
Cymbalaria muralis,Ivy-leaved toadflax
Cynoglossum amabile,Chinese forget-me-not
Cyperus bipartitus,Shining Flatsedge
Cyperus brevifolioides,Asiatic Greenhead Sedge
Cyperus dentatus,toothed flatsedge
Cyperus diandrus,Umbrella Flatsedge
Cyperus difformis,Variable Flatsedge
Cyperus engelmannii,Engelmann's Flatsedge
Cyperus erythrorhizos,redroot flatsedge
Cyperus esculentus,yellow nutsedge
Cyperus flavescens,Yellow Flatsedge
Cyperus grayi,Gray's Flatsedge
Cyperus iria,Rice flat-sedge
Cyperus lupulinus,Great Plains Flatsedge
Cyperus microiria,Asian Flatsedge
Cyperus odoratus,Fragrant flatsedge
Cyperus squarrosus,Bearded Flatsedge
Cyperus strigosus,straw-colored flatsedge
Cyperus subsquarrosus,Small-Flower Halfchaff Sedge
Cypripedium acaule,pink lady's slipper
Cypripedium parviflorum,yellow lady's slipper
Cystopteris bulbifera,bulblet fern
Cystopteris fragilis,brittle bladderfern
Cystopteris protrusa,lowland brittle fern
Cystopteris tenuis,Mackay's Fragile Fern
Cytisus scoparius,Scotch Broom
Dactylis glomerata,orchard grass
Dactylorhiza viridis,Frog Orchid
Dalea purpurea,purple prairie clover
Danthonia compressa,Flattened Oatgrass
Danthonia spicata,Poverty oatgrass
Daphne mezereum,Mezereon
Dasiphora fruticosa,shrubby cinquefoil
Datura innoxia,downy thorn-apple
Datura metel,metel devil's trumpet
Datura stramonium,jimsonweed
Datura wrightii,Sacred Datura
Daucus carota,wild carrot
Decodon verticillatus,swamp loosestrife
Delphinium ajacis,doubtful knight's-spur
Dendrolycopodium dendroideum,prickly tree-clubmoss
Dendrolycopodium hickeyi,Hickey's tree-clubmoss
Dendrolycopodium obscurum,flat-branched tree-clubmoss
Dennstaedtia punctilobula,hay-scented fern
Deparia acrostichoides,silvery glade fern
Desmodium canadense,showy tick-trefoil
Desmodium canescens,hoary tick-trefoil
Desmodium ciliare,Little-leaf Tick-clover
Desmodium cuspidatum,toothed tick-trefoil
Desmodium glabellum,tall tick-trefoil
Desmodium marilandicum,Maryland Tick-trefoil
Desmodium paniculatum,panicled ticktrefoil
Desmodium perplexum,perplexed tick-trefoil
Desmodium rotundifolium,Round-leaved Trailing Tick-trefoil
Deutzia crenata,
Dianthus armeria,Deptford pink
Dianthus barbatus,Sweet-William
Dianthus deltoides,Maiden Pink
Dicentra canadensis,squirrel corn
Dicentra cucullaria,Dutchman's breeches
Dicentra eximia,Fringed Bleeding Heart
Dicentra formosa,Pacific Bleeding Heart
Dichanthelium acuminatum,hairy rosette-panicgrass
Dichanthelium boscii,Bosc's Witchgrass
Dichanthelium clandestinum,deertongue
Dichanthelium commutatum,variable witchgrass
Dichanthelium depauperatum,Starved Witchgrass
Dichanthelium dichotomum,forked witchgrass
Dichanthelium latifolium,broad-leaved panic grass
Dichanthelium linearifolium,Slim-leaf Witchgrass
Dichanthelium microcarpon,Small-fruited Witchgrass
Dichanthelium sphaerocarpon,round-fruited rosette-panicgrass
Dicranum flagellare,Whip Fork Moss
Dicranum fulvum,boulder broom moss
Dicranum montanum,Montane Dicranum Moss
Dicranum scoparium,Broom Forkmoss
Dicranum viride,dicranum moss
Diervilla lonicera,northern bush honeysuckle
Digitalis grandiflora,Yellow Foxglove
Digitalis lanata,Woolly Foxglove
Digitalis lutea,Straw Foxglove
Digitalis purpurea,purple foxglove
Digitaria ischaemum,smooth crabgrass
Digitaria sanguinalis,Hairy Crabgrass
Diodia virginiana,buttonweed
Dioscorea polystachya,Chinese yam
Dioscorea villosa,wild yam
Diospyros virginiana,American persimmon
Diphasiastrum digitatum,fan clubmoss
Diphasiastrum tristachyum,blue clubmoss
Diphyscium foliosum,Powder Gun Moss
Diplophyllum apiculatum,Sharp-pointed Earwort
Dipsacus fullonum,wild teasel
Dipsacus laciniatus,cutleaf teasel
Dirca palustris,eastern leatherwood
Distichlis spicata,Saltgrass
Ditrichum pallidum,Pale Cow-hair Moss
Doellingeria infirma,Cornel-leaf Whitetop
Doellingeria umbellata,flat-top white aster
Doronicum pardalianches,Leopard's-bane
Draba verna,Common Whitlowgrass
Drosera intermedia,spoonleaf sundew
Drosera rotundifolia,round-leaved sundew
Drymocallis arguta,Tall Cinquefoil
Dryopteris carthusiana,spinulose wood fern
Dryopteris clintoniana,Clinton's wood fern
Dryopteris cristata,crested wood fern
Dryopteris erythrosora,autumn fern
Dryopteris filix-mas,male fern
Dryopteris goldieana,Goldie's wood fern
Dryopteris intermedia,intermediate wood fern
Dryopteris marginalis,marginal wood fern
Dulichium arundinaceum,Three-way Sedge
Dysphania ambrosioides,Mexican tea
Dysphania atriplicifolia,Winged Pigweed
Dysphania botrys,Jerusalem oak
Dysphania pumilio,Clammy goosefoot
Echinacea pallida,pale purple coneflower
Echinacea purpurea,purple coneflower
Echinochloa colona,Jungle Rice
Echinochloa crus-galli,barnyardgrass
Echinochloa muricata,rough barnyard grass
Echinochloa walteri,Walter's barnyard grass
Echinocystis lobata,prickly cucumber
Echinops bannaticus,Blue Globe-thistle
Echinops sphaerocephalus,Glandular Globe-thistle
Echium vulgare,viper's-bugloss
Eclipta prostrata,False Daisy
Elaeagnus umbellata,autumn olive
Eleocharis acicularis,Needle Spikerush
Eleocharis equisetoides,Horsetail Spikerush
Eleocharis flavescens,Yellow Spikerush
